"Dates","ARCELOR.MITTAL"
"2000-10-27",9.25885
"2000-10-30",9.50165
"2000-10-31",9.2368
"2000-11-01",10.4286
"2000-11-02",10.2631
"2000-11-03",10.31825
"2000-11-06",10.5941
"2000-11-07",10.3072
"2000-11-08",10.3293
"2000-11-09",10.3734
"2000-11-10",10.37345
"2000-11-13",9.82165
"2000-11-14",9.86575
"2000-11-15",10.1086
"2000-11-16",10.31825
"2000-11-17",9.95405
"2000-11-20",10.2079
"2000-11-21",9.82165
"2000-11-22",9.29195
"2000-11-23",9.3802
"2000-11-24",9.4354
"2000-11-27",9.54575
"2000-11-28",9.13745
"2000-11-29",9.10435
"2000-11-30",8.9388
"2000-12-01",8.89465
"2000-12-04",9.1043
"2000-12-05",9.22575
"2000-12-06",9.07125
"2000-12-07",8.60775
"2000-12-08",8.51945
"2000-12-11",8.80635
"2000-12-12",8.7953
"2000-12-13",8.71805
"2000-12-14",8.49735
"2000-12-15",8.3429
"2000-12-18",8.00075
"2000-12-19",7.33865
"2000-12-20",6.3896
"2000-12-21",6.0475
"2000-12-22",6.12475
"2000-12-25",6.12475
"2000-12-26",6.12475
"2000-12-27",5.88195
"2000-12-28",5.94815
"2000-12-29",6.0144
"2001-01-01",6.0144
"2001-01-02",5.9592
"2001-01-03",6.202
"2001-01-04",6.88615
"2001-01-05",7.0076
"2001-01-08",7.0076
"2001-01-09",7.3276
"2001-01-10",7.8904
"2001-01-11",8.0449
"2001-01-12",8.27665
"2001-01-15",8.26565
"2001-01-16",8.60775
"2001-01-17",9.1043
"2001-01-18",9.32505
"2001-01-19",9.14845
"2001-01-22",8.9498
"2001-01-23",7.9566
"2001-01-24",7.80215
"2001-01-25",8.0118
"2001-01-26",8.067
"2001-01-29",8.55255
"2001-01-30",8.05595
"2001-01-31",7.86835
"2001-02-01",8.32085
"2001-02-02",8.91675
"2001-02-05",9.54575
"2001-02-06",9.66715
"2001-02-07",9.29195
"2001-02-08",8.45325
"2001-02-09",8.4532
"2001-02-12",8.3208
"2001-02-13",8.4643
"2001-02-14",8.4643
"2001-02-15",8.42015
"2001-02-16",8.17735
"2001-02-19",8.17735
"2001-02-20",8.3429
"2001-02-21",8.067
"2001-02-22",7.74695
"2001-02-23",7.61455
"2001-02-26",7.7249
"2001-02-27",7.89045
"2001-02-28",8.0008
"2001-03-01",8.11115
"2001-03-02",7.9456
"2001-03-05",7.89045
"2001-03-06",8.16635
"2001-03-07",8.00075
"2001-03-08",7.9456
"2001-03-09",7.89045
"2001-03-12",7.65865
"2001-03-13",7.33865
"2001-03-14",7.2945
"2001-03-15",6.8531
"2001-03-16",6.9524
"2001-03-19",6.86415
"2001-03-20",7.449
"2001-03-21",6.8972
"2001-03-22",6.51095
"2001-03-23",6.78685
"2001-03-26",7.04065
"2001-03-27",6.9524
"2001-03-28",7.0076
"2001-03-29",6.96345
"2001-03-30",7.0186
"2001-04-02",7.2504
"2001-04-03",6.6324
"2001-04-04",6.62135
"2001-04-05",6.7869
"2001-04-06",6.8862
"2001-04-09",6.82
"2001-04-10",6.84205
"2001-04-11",6.93035
"2001-04-12",6.9524
"2001-04-13",6.9524
"2001-04-16",6.9524
"2001-04-17",7.00755
"2001-04-18",7.12895
"2001-04-19",7.21725
"2001-04-20",6.9193
"2001-04-23",6.9524
"2001-04-24",7.0517
"2001-04-25",6.94135
"2001-04-26",7.151
"2001-04-27",7.0517
"2001-04-30",7.0517
"2001-05-01",7.1621
"2001-05-02",7.2835
"2001-05-03",7.2283
"2001-05-04",7.2283
"2001-05-07",7.3276
"2001-05-08",7.0738
"2001-05-09",7.0848
"2001-05-10",7.17315
"2001-05-11",7.21725
"2001-05-14",7.21725
"2001-05-15",7.3717
"2001-05-16",7.22825
"2001-05-17",7.60345
"2001-05-18",7.55935
"2001-05-21",8.2656
"2001-05-22",8.82845
"2001-05-23",9.32505
"2001-05-24",9.2588
"2001-05-25",9.2588
"2001-05-28",9.11535
"2001-05-29",9.18155
